,Country_Name,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014
5030,Mozambique,-0.201,-0.063,0.829,0.186,-0.032,0.1,0.594,0.562,0.066,0.347,0.131,0.689,0.289,0.083,0.553,0.18,0.224,0.94,0.276,0.351,0.492,0.625,0.641,0.492,1.072,0.505,0.619,0.302,0.478,0.871,0.622,0.641,0.394,0.616
5064,Myanmar,0.324,0.097,0.178,0.103,0.213,0.113,0.577,0.429,0.366,0.228,0.516,0.071,0.083,0.45,0.583,0.389,0.189,1.113,0.815,0.11,0.563,0.647,0.644,0.587,0.906,0.773,0.456,0.463,0.898,1.188,0.508,0.878,0.94,0.799
5098,Namibia,0.077,0.422,0.748,0.829,0.57,0.397,1.12,0.55,-0.215,0.808,0.317,0.782,0.831,0.442,1.118,0.229,0.222,1.449,1.016,0.144,0.576,1.104,1.45,1.077,0.982,-0.019,0.894,0.918,0.725,1.594,0.013,0.429,1.376,1.039
5132,Nauru,0.366,-0.179,,0.014,0.082,,,,0.321,-0.059,0.116,-0.313,,,,,,,,,,,,,,,,,,,,,,
5166,Nepal,-0.059,-0.125,-0.42,-0.026,0.324,-0.091,0.267,0.573,0.046,-0.054,0.097,-0.016,-0.186,0.175,0.365,0.277,-0.338,0.343,0.583,0.045,0.419,0.496,0.272,0.391,0.747,0.876,0.714,0.335,1.189,1.214,0.308,0.493,0.281,0.437
5200,Netherlands,0.333,0.462,0.865,0.055,-0.855,-0.198,-0.505,0.793,1.535,1.559,0.256,1.174,0.242,1.361,1.537,-0.783,0.608,1.063,1.569,1.587,1.259,1.517,1.196,1.15,1.241,1.494,2.061,1.42,1.213,0.088,1.056,1.135,0.414,2.548
5234,Netherlands Antilles (former),0.449,0.22,0.616,0.074,-0.18,-0.092,0.613,0.323,-0.157,0.191,0.274,0.313,0.404,0.39,0.589,0.527,0.421,1.092,0.323,0.028,0.558,0.714,0.87,0.471,0.692,0.489,0.818,0.335,0.699,1.217,0.408,0.528,0.928,0.867
5268,New Caledonia,0.168,0.021,0.501,0.101,0.274,0.14,-0.163,0.813,0.229,0.502,0.073,0.185,-0.106,-0.237,0.316,0.525,0.098,1.537,0.774,0.26,0.492,0.502,0.282,0.393,0.241,0.139,0.613,0.603,0.375,0.709,0.465,0.341,0.497,0.486
5302,New Zealand,0.417,-0.073,-0.303,0.161,0.384,0.37,0.393,0.496,0.742,0.568,-0.029,-0.717,-0.387,-0.086,0.09,0.233,-0.127,0.986,1.018,0.276,0.584,0.43,0.246,0.043,0.449,0.395,0.258,0.553,0.054,0.59,0.658,0.093,0.932,0.475
5336,Nicaragua,0.205,0.54,0.597,0.01,0.103,0.176,0.392,0.461,0.118,0.312,0.465,0.47,0.265,0.68,0.907,0.08,0.797,1.02,0.011,0.054,0.436,0.726,0.586,0.501,0.789,0.613,0.761,0.492,0.737,0.748,0.605,0.654,1.232,0.768
5370,Niger,0.099,0.44,0.106,0.688,0.364,0.81,0.736,0.661,-0.309,0.585,0.986,-0.167,0.526,0.354,0.587,1.226,0.858,0.823,0.717,0.879,0.37,0.732,0.985,0.732,1.361,1.366,1.069,0.486,1.51,1.754,1.167,0.797,1.017,1.204
5404,Nigeria,0.205,0.406,0.287,0.851,0.44,0.594,0.879,0.561,-0.333,0.658,0.698,-0.048,0.608,0.538,0.514,0.865,0.78,1.118,0.827,0.598,0.315,0.841,0.884,0.801,1.271,1.297,0.906,0.672,1.399,1.515,0.949,0.613,0.985,1.056
5438,Niue,-0.305,-0.094,0.168,0.269,0.074,-0.043,0.067,0.519,0.077,0.177,0.419,0.051,,,,,,,,,,,,,,,,,,,,,,
5472,Norfolk Island,0.195,-0.042,0.269,0.149,0.212,0.282,-0.015,0.8,0.516,0.486,0.131,-0.143,-0.107,-0.161,0.463,0.818,-0.165,1.409,,-0.227,0.25,0.166,0.045,0.294,0.326,0.208,,,0.358,0.62,0.721,0.251,0.303,0.145
5506,North Macedonia,,,,,,,,,,,,0.026,0.014,1.487,-0.043,-0.124,-0.114,0.774,0.614,1.096,1.604,0.372,0.654,0.383,0.181,0.41,1.575,1.183,1.065,1.394,0.763,1.486,1.482,1.357
5540,Norway,-0.483,-0.042,0.644,0.544,-0.583,-0.421,-0.818,0.489,1.755,1.532,0.992,1.134,0.712,0.081,0.96,-0.043,0.779,0.401,1.277,1.447,0.633,1.403,1.117,1.314,1.785,1.525,1.713,1.641,1.409,-0.32,1.428,1.084,0.815,2.441
5574,Oman,0.442,-0.373,-0.448,-0.362,0.188,0.18,0.293,0.418,-0.156,0.24,-0.086,-0.434,0.493,0.325,0.057,-0.01,-0.185,0.838,0.728,0.679,0.732,0.872,0.881,0.825,0.91,0.955,0.766,0.648,0.846,1.223,0.999,0.919,0.658,0.735
5608,Pacific Islands Trust Territory,0.253,0.189,0.234,0.222,0.086,0.325,0.325,0.431,0.261,0.47,,,,,,,,,,,,,,,,,,,,,,,,
5642,Pakistan,0.336,-0.342,-0.382,-0.187,0.218,-0.273,0.208,0.748,-0.291,0.426,-0.226,-0.375,0.442,0.203,-0.08,-0.137,-0.35,0.489,0.846,0.698,0.752,0.984,0.493,1.018,0.233,1.057,0.71,0.412,1.048,1.283,0.831,0.242,0.81,0.42
5676,Palau,,,,,,,,,,,,0.208,0.16,0.392,0.446,0.504,0.49,0.753,0.565,0.553,,,0.502,0.775,0.611,0.654,0.754,,0.663,0.613,0.59,0.789,0.907,0.963
